48	BW	BY	BE	BB	HB	HH	HE	MV	NI	NW	RP	SL	SN	ST	SH	TH
1	128,5	157,1	121,1	176,9	81,6	118,0	134,2	90,7	89,0	122,7	117,8	90,7	329,7	174,3	77,4	248,9
2	138,8	156,0	190,2	233,6	90,0	139,4	161,7	132,7	109,7	150,1	132,5	173,7	357,6	162,8	101,8	314,0
3	111,0	141,7	160,4	205,9	86,3	108,9	129,8	118,7	91,5	123,0	106,6	110,5	252,6	225,7	86,2	274,3
4	90,3	108,6	109,8	167,4	75,2	82,0	112,8	106,3	85,6	104,9	96,2	111,6	167,2	197,7	96,2	207,6
5	74,2	90,3	84,2	125,3	83,1	81,9	92,4	93,5	71,9	85,2	78,4	121,9	120,1	143,5	79,3	164,2
6	60,8	76,2	69,0	89,3	78,1	63,5	80,7	84,8	66,4	73,4	60,2	115,5	95,5	113,7	64,4	135,2
7	48,5	55,6	57,2	71,5	58,7	62,0	55,0	66,6	58,3	54,1	46,6	71,8	65,0	76,3	57,2	97,6
8	44,3	58,0	56,3	64,1	76,9	66,8	60,0	66,6	62,7	61,0	48,4	47,1	69,9	87,5	51,0	123,2
9	50,0	61,8	65,3	63,3	79,9	72,8	63,4	65,2	63,4	64,1	48,8	72,8	77,8	85,6	50,6	126,5
10	59,7	69,8	68,6	63,3	65,9	76,3	66,1	67,0	58,8	65,1	43,7	55,9	81,6	81,6	45,8	131,9
11	73,7	86,0	70,8	77,9	68,0	79,5	84,0	62,9	65,1	78,9	52,2	55,7	105,1	102,9	50,3	161,6
12	99,8	107,7	94,1	111,5	100,4	107,7	114,3	69,5	88,4	103,5	73,9	65,1	145,2	115,1	59,5	207,7
13	121,5	135,8	140,2	137,1	130,9	137,0	133,3	103,7	111,5	128,8	99,3	78,3	183,0	150,8	66,6	232,2
14	121,7	131,8	125,1	136,5	118,8	147,3	139,3	83,2	97,9	125,0	103,1	80,2	184,9	155,4	67,5	234,6
15	134,0	138,7	105,9	119,4	132,4	122,8	138,7	124,5	97,0	125,0	99,8	117,4	193,4	159,2	71,8	218,5
16	170,5	185,4	147,4	142,1	170,9	125,9	159,2	146,8	117,2	167,1	136,4	129,4	233,6	170,9	73,2	247,1
17	190,5	176,0	135,4	125,9	164,0	102,8	177,1	139,5	111,6	185,9	136,9	146,5	218,8	169,6	76,0	225,1
18	183,4	146,9	122,9	107,7	107,8	91,6	153,4	120,0	101,7	157,5	116,9	144,7	208,7	160,6	58,6	217,8
19	145,4	118,7	99,6	89,1	99,2	76,1	121,2	88,2	83,4	129,2	96,7	109,2	172,8	122,1	50,0	180,0
20	102,3	82,5	66,9	61,7	62,5	49,2	93,0	58,0	59,1	88,5	76,2	89,3	111,5	83,7	36,5	127,5
21	80,4	62,6	55,5	47,9	55,8	34,8	75,4	40,9	46,3	69,4	56,0	81,1	81,7	53,8	31,5	101,2
22	43,7	36,0	32,8	20,0	32,7	22,4	42,3	14,7	23,1	40,1	31,6	31,5	39,3	29,2	17,9	47,5
23	29,5	25,3	26,5	13,2	25,2	19,1	28,7	8,4	17,6	28,1	25,5	29,6	24,6	18,7	12,5	30,0
24	25,4	20,6	15,4	7,1	15,4	14,9	20,8	4,9	9,9	18,9	17,3	21,2	12,0	7,4	9,2	16,0
25	12,7	10,5	7,6	3,8	6,3	12,2	10,0	2,1	4,9	9,6	9,5	12,6	5,2	3,7	4,5	7,5
26	7,3	7,0	6,5	2,6	7,2	9,9	7,5	2,1	3,1	5,9	5,6	7,1	3,3	1,8	3,3	3,7
27	5,5	5,6	4,8	2,3	7,0	8,8	8,0	1,4	3,7	5,5	5,2	6,6	2,3	1,0	3,5	3,9
28	6,3	7,1	7,4	3,5	10,3	10,0	9,2	1,7	5,5	7,0	6,6	7,7	2,1	1,5	3,8	2,3
29	9,7	10,6	15,8	5,5	13,7	12,7	13,2	3,4	10,2	11,8	10,6	7,3	3,5	3,1	8,0	3,7
30	12,1	10,9	23,5	5,1	16,6	23,2	17,7	4,9	15,8	17,1	15,4	21,7	4,8	2,8	13,9	5,6
31	14,8	14,4	27,0	8,6	24,2	30,9	18,6	8,2	16,8	24,0	17,5	22,4	6,4	6,2	23,2	5,2
32	16,9	15,3	37,9	12,5	24,1	49,2	21,9	16,6	18,1	34,0	20,0	33,4	7,6	7,2	40,8	6,3
33	29,3	26,0	62,2	20,3	35,7	74,3	34,1	22,7	24,9	54,4	28,1	37,6	10,9	9,7	48,7	8,1
34	46,6	41,1	67,3	25,1	52,7	63,2	56,5	31,2	39,5	99,2	44,9	63,9	15,1	13,7	49,6	13,7
35	76,2	68,5	74,4	25,6	82,6	80,6	72,6	30,8	58,0	125,3	67,3	81,2	19,7	15,5	47,8	22,1
36	90,8	75,9	83,4	36,2	109,8	80,2	116,5	34,6	71,2	114,9	95,3	95,4	29,0	22,9	51,4	30,4
37	79,1	84,2	84,6	43,4	114,4	76,0	105,3	37,7	75,7	100,8	93,3	77,2	41,2	27,2	43,3	45,5
38	94,1	86,0	78,3	41,0	104,8	60,4	79,0	31,5	58,3	73,6	69,1	63,0	31,7	36,2	37,7	54,9
39	80,2	81,7	69,1	36,0	114,4	54,2	64,8	32,4	46,8	58,3	58,7	57,2	40,8	33,5	30,4	55,7
40	82,8	89,1	75,3	38,4	115,1	63,1	63,5	50,5	45,4	53,8	53,1	42,9	68,9	41,4	28,1	74,9
41	85,9	91,3	78,9	52,9	104,1	55,2	62,6	46,9	41,4	52,1	53,7	45,1	87,3	48,2	27,1	97,4
42	96,2	109,0	85,7	56,1	72,9	57,9	55,7	56,3	50,0	47,9	51,1	62,2	113,8	61,9	27,9	135,6
43	136,0	172,7	115,2	84,4	70,6	92,2	79,3	60,0	60,7	68,9	68,6	53,4	178,0	92,2	56,6	219,7
44	187,8	236,1	139,2	121,8	85,0	100,7	118,8	89,8	78,2	109,0	95,7	71,6	276,8	122,0	69,6	303,3
45	224,8	293,0	191,6	227,1	87,6	130,0	145,0	128,6	101,8	120,4	118,7	108,4	444,0	184,2	75,1	419,9
46	370,3	496,4	305,7	359,3	101,2	160,2	181,6	170,0	129,8	162,6	162,5	184,0	670,9	301,4	97,9	527,4
47	438,0	639,4	343,0	559,5	166,4	183,5	228,4	255,0	159,6	219,8	215,5	344,6	862,1	500,0	134,6	628,0
48	514,7	632,2	371,6	709,4	213,9	221,8	276,4	389,3	212,2	276,4	291,4	438,2	1205,5	719,7	150,8	878,4
